City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,ribeira grande,PT,38.5167,-28.7,21.84,83,97,2.49,overcast clouds
1,souillac,MU,-20.5167,57.5167,22.21,78,75,5.66,broken clouds
2,surt,LY,31.2089,16.5887,23.31,67,1,4.27,clear sky
3,neftcala,AZ,39.3742,49.2472,22.19,69,1,9.43,clear sky
4,jamestown,US,42.097,-79.2353,10.95,71,27,0.8,scattered clouds
5,ushuaia,AR,-54.8,-68.3,3.81,87,100,8.23,light rain
6,arraial do cabo,BR,-22.9661,-42.0278,20.5,85,100,5.28,overcast clouds
7,sala consilina,IT,40.3912,15.5989,11.9,61,99,1.44,overcast clouds
8,savannah bight,HN,16.45,-85.85,26.97,77,100,3.18,overcast clouds
9,port alfred,ZA,-33.5906,26.891,15.1,93,62,1.79,broken clouds
10,cockburn town,TC,21.4612,-71.1419,28.41,75,97,5.72,overcast clouds
11,cidreira,BR,-30.1811,-50.2056,17.56,85,100,9.86,overcast clouds
12,narsaq,GL,60.9167,-46.05,-1.78,92,39,2.64,scattered clouds
13,la baule-escoublac,FR,47.2922,-2.364,7.62,96,100,0.0,fog
14,san cristobal,VE,7.7669,-72.225,21.1,96,100,1.26,overcast clouds
15,busselton,AU,-33.65,115.3333,13.64,72,92,6.31,overcast clouds
16,clyde river,CA,70.4692,-68.5914,-3.87,74,100,7.72,light snow
17,lerwick,GB,60.1545,-1.1494,10.0,82,71,12.58,light rain
18,tanga,TZ,-5.0667,39.1,23.03,86,26,3.48,light rain
19,castro,BR,-24.7911,-50.0119,14.75,97,100,3.65,overcast clouds
20,cape town,ZA,-33.9258,18.4232,13.95,82,20,4.12,few clouds
21,vestmanna,FO,62.1564,-7.1664,8.51,76,75,6.17,light rain
22,keetmanshoop,NA,-26.5833,18.1333,14.27,42,0,3.51,clear sky
23,rey bouba,CM,8.6724,14.1786,22.3,97,100,0.88,moderate rain
24,lagoa,PT,39.05,-27.9833,20.27,88,98,6.94,light rain
25,kruisfontein,ZA,-34.0033,24.7314,9.94,92,5,2.8,clear sky
26,santa vitoria do palmar,BR,-33.5189,-53.3681,14.97,82,100,4.9,overcast clouds
27,ginda,IN,30.6945,78.4932,20.14,60,1,1.58,clear sky
28,quatre cocos,MU,-20.2078,57.7625,23.38,77,35,7.43,light rain
29,horadiz,AZ,39.4488,47.3353,20.43,82,70,2.02,broken clouds
30,kondinskoye,RU,59.6481,67.41,8.08,59,99,1.97,overcast clouds
31,sambava,MG,-14.2667,50.1667,22.22,77,11,4.92,light rain
32,aleksandrov gay,RU,50.147,48.5704,11.77,68,100,3.12,overcast clouds
33,east london,ZA,-33.0153,27.9116,16.52,88,20,4.12,few clouds
34,rochegda,RU,62.8,43.25,7.14,96,100,1.23,overcast clouds
35,tasiilaq,GL,65.6145,-37.6368,-4.74,48,82,2.89,broken clouds
36,namibe,AO,-15.1961,12.1522,16.33,90,61,2.0,broken clouds
37,korla,CN,41.7597,86.1469,16.11,25,41,2.92,scattered clouds
38,nokaneng,BW,-19.6667,22.2667,20.38,29,8,2.7,clear sky
39,bandarbeyla,SO,9.4942,50.8122,26.04,75,16,9.34,few clouds
40,chuy,UY,-33.6971,-53.4616,14.82,83,100,4.59,overcast clouds
41,ofaqim,IL,31.3141,34.6203,21.44,82,2,1.87,clear sky
42,cravo norte,CO,6.3017,-70.2041,26.94,74,73,0.47,broken clouds
43,narasannapeta,IN,18.4167,84.05,27.89,81,100,3.94,moderate rain
44,babanka,UA,48.7097,30.4483,9.8,72,100,2.89,overcast clouds
45,ohangaron,UZ,40.9064,69.6383,14.08,17,5,0.76,clear sky
46,bredasdorp,ZA,-34.5322,20.0403,8.83,90,9,3.39,clear sky
47,gasa,PS,31.5,34.4667,23.16,76,13,2.56,few clouds
48,san carlos de bariloche,AR,-41.1456,-71.3082,4.58,87,75,12.86,broken clouds
49,nelidovo,RU,56.2211,32.7774,8.12,99,100,2.6,overcast clouds
50,maceio,BR,-9.6658,-35.7353,23.69,94,20,1.03,few clouds
51,urucara,BR,-2.5364,-57.76,26.43,65,89,1.33,overcast clouds
52,pionerskiy,RU,54.9508,20.2275,10.91,87,3,9.69,clear sky
53,grand gaube,MU,-20.0064,57.6608,23.54,67,7,3.13,clear sky
54,buchanan,LR,5.8808,-10.0467,24.26,88,88,0.91,overcast clouds
55,cap malheureux,MU,-19.9842,57.6142,23.59,67,7,3.13,clear sky
56,azare,NG,11.6765,10.1948,24.5,65,76,2.55,broken clouds
57,lima,PE,-12.0432,-77.0282,15.14,84,100,4.63,overcast clouds
58,mezhdurechensk,RU,53.6942,88.0603,2.08,100,100,0.94,light rain
59,saint-philippe,RE,-21.3585,55.7679,21.77,71,40,5.52,scattered clouds
60,vestmannaeyjar,IS,63.4427,-20.2734,7.06,68,48,5.29,scattered clouds
61,coihaique,CL,-45.5752,-72.0662,5.97,81,75,2.57,broken clouds
62,sur,OM,22.5667,59.5289,30.09,49,0,1.08,clear sky
63,ostrovnoy,RU,68.0531,39.5131,6.95,85,81,7.46,broken clouds
64,taoudenni,ML,22.6783,-3.9836,32.42,14,51,3.97,broken clouds
65,victoria,HK,22.2855,114.1577,32.2,67,41,4.47,scattered clouds
66,urdoma,RU,61.7533,48.5442,6.53,97,100,1.49,light rain
67,bambous virieux,MU,-20.3428,57.7575,23.45,78,75,5.66,light rain
68,saint george,US,37.1041,-113.5841,26.33,22,0,1.79,clear sky
69,paamiut,GL,61.994,-49.6678,2.54,74,72,3.37,broken clouds
70,shieli,KZ,44.1667,66.75,14.35,21,0,8.72,clear sky
71,san ramon de la nueva oran,AR,-23.1322,-64.326,20.74,55,37,1.86,scattered clouds
72,iralaya,HN,15.0,-83.2333,26.03,86,100,3.59,overcast clouds
73,tara,RU,56.8944,74.371,8.33,57,100,1.34,overcast clouds
74,polgardi,HU,47.061,18.302,11.33,74,93,0.28,overcast clouds
75,abdanan,IR,32.9926,47.4198,23.86,18,0,3.77,clear sky
76,mar del plata,AR,-38.0023,-57.5575,13.86,88,97,2.06,overcast clouds
77,shatsk,RU,54.0258,41.7119,6.47,89,99,3.48,overcast clouds
78,walvis bay,NA,-22.9575,14.5053,12.53,87,100,3.6,overcast clouds
79,talcahuano,CL,-36.7167,-73.1167,11.82,82,100,2.06,moderate rain
80,the valley,AI,18.217,-63.0578,27.92,76,7,8.82,clear sky
